name,team
AASVOLD Kristian,Human Powered Health
ABERASTURI Jon,Trek - Segafredo
ABRAHAMSEN Jonas,Uno-X Pro Cycling Team
ACKERMANN Pascal,UAE Team Emirates
ADRIÀ Roger,Equipo Kern Pharma
AFFINI Edoardo,Jumbo-Visma
AGIRRE Jon,Equipo Kern Pharma
ALAPHILIPPE Julian,Quick-Step Alpha Vinyl Team
ALBA Juan Diego,Drone Hopper -  Androni Giocattoli
ALBANESE Vincenzo,EOLO-Kometa
ALEOTTI Giovanni,BORA - hansgrohe
ALLEGAERT Piet,Cofidis
ALMEIDA João,UAE Team Emirates
AMADOR Andrey,INEOS Grenadiers
AMEZQUETA Julen,Caja Rural - Seguros RGA
ANACONA Winner,Team Arkéa Samsic
ANDERSEN Idar,Uno-X Pro Cycling Team
ANDERSON Edward,Alpecin-Deceuninck
ANGULO Antonio,Euskaltel - Euskadi
ANIOŁKOWSKI Stanisław,Bingoal Pauwels Sauces WB
APARICIO Mario,Burgos-BH
APERS Ruben,Sport Vlaanderen - Baloise
ARAIZ Sergio,Equipo Kern Pharma
ARANBURU Alex,Movistar Team
ARASHIRO Yukiya,Bahrain - Victorious
ARCAS Jorge,Movistar Team
ARCHBOLD Shane,BORA - hansgrohe
ARDILA Andrés Camilo,UAE Team Emirates
ARENSMAN Thymen,Team DSM
ARISTI Mikel,Euskaltel - Euskadi
ARMIRAIL Bruno,Groupama - FDJ
ARMÉE Sander,Cofidis
ARNDT Nikias,Team DSM
ARRIETA Igor,Equipo Kern Pharma
ARROYAVE Daniel,EF Education-EasyPost
ASGREEN Kasper,Quick-Step Alpha Vinyl Team
ASKEY Lewis,Groupama - FDJ
AULAR Orluis,Caja Rural - Seguros RGA
AYUSO Juan,UAE Team Emirates
AZPARREN Xabier Mikel,Euskaltel - Euskadi
AZURMENDI Ibai,Euskaltel - Euskadi
BADILATTI Matteo,Groupama - FDJ
BAGIOLI Andrea,Quick-Step Alpha Vinyl Team
BAGÜES Aritz,Caja Rural - Seguros RGA
BAIS Davide,EOLO-Kometa
BAIS Mattia,Drone Hopper -  Androni Giocattoli
BAKELANTS Jan,Intermarché - Wanty - Gobert Matériaux
BALLARIN Iker,Euskaltel - Euskadi
BALLERINI Davide,Quick-Step Alpha Vinyl Team
BALLERSTEDT Maurice,Alpecin-Deceuninck
BALMER Alexandre,Team BikeExchange - Jayco
BARBERO Carlos,Lotto Soudal
BARBIER Pierre,B&B Hotels - KTM
BARBIER Rudy,Israel - Premier Tech
BARCELÓ Fernando,Caja Rural - Seguros RGA
BARDET Romain,Team DSM
BARGUIL Warren,Team Arkéa Samsic
BARONCINI Filippo,Trek - Segafredo
BARRENETXEA Jon,Caja Rural - Seguros RGA
BARTA Will,Movistar Team
BARTHE Cyril,B&B Hotels - KTM
BASSETT Stephen,Human Powered Health
BASSO Leonardo,Astana Qazaqstan Team
BATTAGLIN Enrico,Bardiani-CSF-Faizanè
BATTISTELLA Samuele,Astana Qazaqstan Team
BAUER Jack,Team BikeExchange - Jayco
BAUHAUS Phil,Bahrain - Victorious
BAX Sjoerd,Alpecin-Deceuninck
BAYER Tobias,Alpecin-Deceuninck
BEADLE Hamish,Team Novo Nordisk
BENEDETTI Cesare,BORA - hansgrohe
BENEDETTI Gabriele,Drone Hopper -  Androni Giocattoli
BENHAMOUDA Mehdi,Team Novo Nordisk
BENNETT George,UAE Team Emirates
BENNETT Sam,BORA - hansgrohe
BENOOT Tiesj,Jumbo-Visma
BERCKMOES Jenno,Sport Vlaanderen - Baloise
BERNAL Egan,INEOS Grenadiers
BERNARD Julien,Trek - Segafredo
BERRADE Urko,Equipo Kern Pharma
BERTHET Clément,AG2R Citroën Team
BERWICK Sebastian,Israel - Premier Tech
BETTIOL Alberto,EF Education-EasyPost
BEULLENS Cedric,Lotto Soudal
BEVILACQUA Simone,EOLO-Kometa
BEVIN Patrick,Israel - Premier Tech
BEWLEY Sam,Team BikeExchange - Jayco
BIDARD François,Cofidis
BIERMANS Jenthe,Israel - Premier Tech
BILBAO Pello,Bahrain - Victorious
BISOLTI Alessandro,Drone Hopper -  Androni Giocattoli
BISSEGGER Stefan,EF Education-EasyPost
BIZKARRA Mikel,Euskaltel - Euskadi
BJERG Mikkel,UAE Team Emirates
BLIKRA Erlend,Uno-X Pro Cycling Team
BLOUWE Louis,Bingoal Pauwels Sauces WB
BOARO Manuele,Astana Qazaqstan Team
BOASSON HAGEN Edvald,TotalEnergies
BODNAR Maciej,TotalEnergies
BOHLI Tom,Cofidis
BOILEAU Alan,B&B Hotels - KTM
BOIVIN Guillaume,Israel - Premier Tech
BOL Cees,Team DSM
BOL Jetse,Burgos-BH
BONIFAZIO Niccolò,TotalEnergies
BONILLO Iker,Bardiani-CSF-Faizanè
BONNAMOUR Franck,B&B Hotels - KTM
BONNEU Kamiel,Sport Vlaanderen - Baloise
BOU Joan,Euskaltel - Euskadi
BOUCHARD Geoffrey,AG2R Citroën Team
BOUET Maxime,Team Arkéa Samsic
BOUHANNI Nacer,Team Arkéa Samsic
BOUWMAN Koen,Jumbo-Visma
BRAET Vito,Sport Vlaanderen - Baloise
BRAMBILLA Gianluca,Trek - Segafredo
BRAND Sam,Team Novo Nordisk
BRENNER Marco,Team DSM
BROWN Nathan,Human Powered Health
BRUNEL Alexys,UAE Team Emirates
BRUSSENSKIY Gleb,Astana Qazaqstan Team
BRUSTENGA Marc,Trek - Segafredo
BRÄNDLE Matthias,Israel - Premier Tech
BUCHMANN Emanuel,BORA - hansgrohe
BUITRAGO Santiago,Bahrain - Victorious
BURGAUDEAU Mathieu,TotalEnergies
BYSTRØM Sven Erik,Intermarché - Wanty - Gobert Matériaux
CABEDO Óscar,Burgos-BH
CABOT Jérémy,TotalEnergies
CAICEDO Jonathan Klever,EF Education-EasyPost
CALLE Juan Fernando,Caja Rural - Seguros RGA
CALMEJANE Lilian,AG2R Citroën Team
CAMARGO Diego Andrés,EF Education-EasyPost
CAMPENAERTS Victor,Lotto Soudal
CANAL Carlos,Euskaltel - Euskadi
CANOLA Marco,Gazprom - RusVelo
CAPIOT Amaury,Team Arkéa Samsic
CARAPAZ Richard,INEOS Grenadiers
CARBONI Giovanni,Gazprom - RusVelo
CARPENTER Robin,Human Powered Health
CARR Simon,EF Education-EasyPost
CARRETERO Héctor,Equipo Kern Pharma
CARTHY Hugh,EF Education-EasyPost
CARUSO Damiano,Bahrain - Victorious
CARVALHO Andre,Cofidis
CASTRILLO Jaime,Equipo Kern Pharma
CASTROVIEJO Jonathan,INEOS Grenadiers
CATAFORD Alexander,Israel - Premier Tech
CATALDO Dario,Trek - Segafredo
CATTANEO Mattia,Quick-Step Alpha Vinyl Team
CAVAGNA Rémi,Quick-Step Alpha Vinyl Team
CAVENDISH Mark,Quick-Step Alpha Vinyl Team
CAÑAVERAL Johnatan,Bardiani-CSF-Faizanè
CEPEDA Jefferson Alexander,Drone Hopper -  Androni Giocattoli
CEPEDA Jefferson Alveiro,Caja Rural - Seguros RGA
CEURENS Robbe,Team Novo Nordisk
CHAMPION Thomas,Cofidis
CHAMPOUSSIN Clément,AG2R Citroën Team
CHARMIG Anthon,Uno-X Pro Cycling Team
CHAVES Esteban,EF Education-EasyPost
CHEREL Mikaël,AG2R Citroën Team
CHERKASOV Nikolay,Gazprom - RusVelo
CHERNETSKI Sergei,Gazprom - RusVelo
CHEVALIER Maxime,B&B Hotels - KTM
CHIRICO Luca,Drone Hopper -  Androni Giocattoli
CHRISTIAN Mark,EOLO-Kometa
CICCONE Giulio,Trek - Segafredo
CIMOLAI Davide,Cofidis
CLAEYS Dimitri,Intermarché - Wanty - Gobert Matériaux
CLANCY Stephen,Team Novo Nordisk
CLARKE Simon,Israel - Premier Tech
COBO Iván,Equipo Kern Pharma
COLBRELLI Sonny,Bahrain - Victorious
COLLEONI Kevin,Team BikeExchange - Jayco
COLMAN Alex,Sport Vlaanderen - Baloise
COLNAGHI Luca,Bardiani-CSF-Faizanè
COMBAUD Romain,Team DSM
CONCA Filippo,Lotto Soudal
CONCI Nicola,Gazprom - RusVelo
CONSONNI Simone,Cofidis
CONTI Valerio,Astana Qazaqstan Team
COQUARD Bryan,Cofidis
CORT Magnus,EF Education-EasyPost
COSNEFROY Benoît,AG2R Citroën Team
COSTA Rui,UAE Team Emirates
COTÉ Pier-André,Human Powered Health
COVI Alessandro,UAE Team Emirates
COVILI Luca,Bardiani-CSF-Faizanè
CRADDOCK Lawson,Team BikeExchange - Jayco
CRAS Steff,Lotto Soudal
CUADRADO Unai,Euskaltel - Euskadi
CUADROS Álvaro,Caja Rural - Seguros RGA
DAINESE Alberto,Team DSM
DAUGE Lucas,Team Novo Nordisk
DAVY Clément,Groupama - FDJ
DE BOD Stefan,Astana Qazaqstan Team
DE BONDT Dries,Alpecin-Deceuninck
DE BUYST Jasper,Lotto Soudal
DE GENDT Aimé,Intermarché - Wanty - Gobert Matériaux
DE GENDT Thomas,Lotto Soudal
DE KEIJZER Gerd,Team Novo Nordisk
DE KLEIJN Arvid,Human Powered Health
DE LA CRUZ David,Astana Qazaqstan Team
DE LA PARTE Víctor,TotalEnergies
DE LIE Arnaud,Lotto Soudal
DE MAEGHT Dorian,Bingoal Pauwels Sauces WB
DE MARCHI Alessandro,Israel - Premier Tech
DE PESTEL Sander,Sport Vlaanderen - Baloise
DE PLUS Laurens,INEOS Grenadiers
DE POOTER Dries,Intermarché - Wanty - Gobert Matériaux
DE TIER Floris,Alpecin-Deceuninck
DE VOS Adam,Human Powered Health
DE VYLDER Lindsay,Sport Vlaanderen - Baloise
DE WILDE Gilles,Sport Vlaanderen - Baloise
DEBUSSCHERE Jens,B&B Hotels - KTM
DECLERCQ Benjamin,Team Arkéa Samsic
DECLERCQ Tim,Quick-Step Alpha Vinyl Team
DEGENKOLB John,Team DSM
DEKKER David,Jumbo-Visma
DELACROIX Théo,Intermarché - Wanty - Gobert Matériaux
DELAPLACE Anthony,Team Arkéa Samsic
DELETTRE Alexandre,Cofidis
DENNIS Rohan,Jumbo-Visma
DENS Tuur,Sport Vlaanderen - Baloise
DENZ Nico,Team DSM
DESAL Ceriel,Bingoal Pauwels Sauces WB
DEVENYNS Dries,Quick-Step Alpha Vinyl Team
DEVRIENDT Tom,Intermarché - Wanty - Gobert Matériaux
DEWULF Stan,AG2R Citroën Team
DILLIER Silvan,Alpecin-Deceuninck
DINA Márton,EOLO-Kometa
DOMBROWSKI Joe,Astana Qazaqstan Team
DOMINGUES André,Burgos-BH
DONOVAN Mark,Team DSM
DOUBEY Fabien,TotalEnergies
DOULL Owain,EF Education-EasyPost
DOWSETT Alex,Israel - Premier Tech
DRIZNERS Jarrad,Lotto Soudal
DUCHESNE Antoine,Groupama - FDJ
DUJARDIN Sandy,TotalEnergies
DUMOULIN Tom,Jumbo-Visma
DUNBAR Eddie,INEOS Grenadiers
DUNNEWIND Jan,Team Novo Nordisk
DUPONT Timothy,Bingoal Pauwels Sauces WB
DURBRIDGE Luke,Team BikeExchange - Jayco
DVERSNES Fredrik,Uno-X Pro Cycling Team
DÉMARE Arnaud,Groupama - FDJ
DÍAZ José Manuel,Gazprom - RusVelo
EDET Nicolas,Team Arkéa Samsic
EDMONDSON Alex,Team BikeExchange - Jayco
EEKHOFF Nils,Team DSM
EENKHOORN Pascal,Jumbo-Visma
EG Niklas,Uno-X Pro Cycling Team
EGHOLM Jakob,Trek - Segafredo
EIKING Odd Christian,EF Education-EasyPost
EINHORN Itamar,Israel - Premier Tech
EL GOUZI Omar,Bardiani-CSF-Faizanè
ELISSONDE Kenny,Trek - Segafredo
ELOSEGUI Iñigo,Movistar Team
ERVITI Imanol,Movistar Team
ETXEBERRIA Asier,Euskaltel - Euskadi
ETXEBERRIA Josu,Caja Rural - Seguros RGA
EVENEPOEL Remco,Quick-Step Alpha Vinyl Team
EWAN Caleb,Lotto Soudal
EZQUERRA Jesús,Burgos-BH
FABBRO Matteo,BORA - hansgrohe
FANCELLU Alessandro,EOLO-Kometa
FEDELI Alessandro,Gazprom - RusVelo
FEDOROV Yevgeniy,Astana Qazaqstan Team
FELLINE Fabio,Astana Qazaqstan Team
FENG Chun Kai,Bahrain - Victorious
FERASSE Thibault,B&B Hotels - KTM
FERNÁNDEZ Rubén,Cofidis
FERRON Valentin,TotalEnergies
FETTER Erik,EOLO-Kometa
FINÉ Eddy,Cofidis
FIORELLI Filippo,Bardiani-CSF-Faizanè
FISHER-BLACK Finn,UAE Team Emirates
FLÓREZ Miguel Eduardo,Team Arkéa Samsic
FORMOLO Davide,UAE Team Emirates
FORTUNATO Lorenzo,EOLO-Kometa
FOSS Tobias,Jumbo-Visma
FRAILE Omar,INEOS Grenadiers
FRANCO Alejandro,Burgos-BH
FRETIN Milan,Sport Vlaanderen - Baloise
FRISON Frederik,Lotto Soudal
FROOME Chris,Israel - Premier Tech
FUENTES Ángel,Burgos-BH
FUGLSANG Jakob,Israel - Premier Tech
GABBURO Davide,Bardiani-CSF-Faizanè
GALL Felix,AG2R Citroën Team
GALLOPIN Tony,Trek - Segafredo
GALVÁN Francisco,Equipo Kern Pharma
GAMPER Patrick,BORA - hansgrohe
GANNA Filippo,INEOS Grenadiers
GARCÍA CORTINA Iván,Movistar Team
GARCÍA Jhojan,Caja Rural - Seguros RGA
GARCÍA PIERNA Carlos,Equipo Kern Pharma
GARCÍA PIERNA Raúl,Equipo Kern Pharma
GARCÍA Sergio,EOLO-Kometa
GAUDU David,Groupama - FDJ
GAUTIER Cyril,B&B Hotels - KTM
GAVAZZI Francesco,EOLO-Kometa
GAVIRIA Fernando,UAE Team Emirates
GAZE Samuel,Alpecin-Deceuninck
GAZZOLI Michele,Astana Qazaqstan Team
GENIETS Kevin,Groupama - FDJ
GENIEZ Alexandre,TotalEnergies
GEOGHEGAN HART Tao,INEOS Grenadiers
GESBERT Élie,Team Arkéa Samsic
GESCHKE Simon,Cofidis
GESINK Robert,Jumbo-Visma
GHEBREIGZABHIER Amanuel,Trek - Segafredo
GHYS Robbe,Sport Vlaanderen - Baloise
GIBBONS Ryan,UAE Team Emirates
GIDICH Yevgeniy,Astana Qazaqstan Team
GILBERT Philippe,Lotto Soudal
GIRMAY Biniam,Intermarché - Wanty - Gobert Matériaux
GODON Dorian,AG2R Citroën Team
GOGL Michael,Alpecin-Deceuninck
GOIKOETXEA Peio,Euskaltel - Euskadi
GOLDSTEIN Omer,Israel - Premier Tech
GONZÁLEZ Abner,Movistar Team
GONZÁLEZ David,Caja Rural - Seguros RGA
GOOSSENS Kobe,Intermarché - Wanty - Gobert Matériaux
GOUGEARD Alexis,B&B Hotels - KTM
GRADEK Kamil,Bahrain - Victorious
GREGAARD Jonas,Uno-X Pro Cycling Team
GRELLIER Fabien,TotalEnergies
GRIGNARD Sébastien,Lotto Soudal
GRMAY Tsgabu,Team BikeExchange - Jayco
GROENEWEGEN Dylan,Team BikeExchange - Jayco
GRONDIN Donavan,Team Arkéa Samsic
GROSU Eduard-Michael,Drone Hopper -  Androni Giocattoli
GROVES Kaden,Team BikeExchange - Jayco
GROß Felix,UAE Team Emirates
GROßSCHARTNER Felix,BORA - hansgrohe
GRUZDEV Dmitriy,Astana Qazaqstan Team
GRÁVALOS Arturo,EOLO-Kometa
GUARNIERI Jacopo,Groupama - FDJ
GUDMESTAD Tord,Uno-X Pro Cycling Team
GUERNALEC Thibault,Team Arkéa Samsic
GUERREIRO Ruben,EF Education-EasyPost
GUGLIELMI Simon,Team Arkéa Samsic
HAGA Chad,Human Powered Health
HAGEN Carl Fredrik,Israel - Premier Tech
HAIG Jack,Bahrain - Victorious
HALLER Marco,BORA - hansgrohe
HALVORSEN Kristoffer,Uno-X Pro Cycling Team
HAMILTON Chris,Team DSM
HAMILTON Lucas,Team BikeExchange - Jayco
HANSEN Lasse Norman,Uno-X Pro Cycling Team
HARDY Romain,Team Arkéa Samsic
HARPER Chris,Jumbo-Visma
HAUSSLER Heinrich,Bahrain - Victorious
HAYTER Ethan,INEOS Grenadiers
HEALY Ben,EF Education-EasyPost
HECHT Gage,Human Powered Health
HEIDEMANN Miguel,B&B Hotels - KTM
HEIDUK Kim,INEOS Grenadiers
HEINSCHKE Leon,Team DSM
HELLEMOSE Asbjørn,Trek - Segafredo
HENAO Sebastián,Astana Qazaqstan Team
HENTTALA Joonas,Team Novo Nordisk
HEPBURN Michael,Team BikeExchange - Jayco
HERMANS Ben,Israel - Premier Tech
HERMANS Quinten,Intermarché - Wanty - Gobert Matériaux
HERRADA Jesús,Cofidis
HERRADA José,Cofidis
HERREGODTS Rune,Sport Vlaanderen - Baloise
HESSMANN Michel,Jumbo-Visma
HESTERS Jules,Sport Vlaanderen - Baloise
HIGUITA Sergio,BORA - hansgrohe
HINDLEY Jai,BORA - hansgrohe
HINDSGAUL Jacob,Uno-X Pro Cycling Team
HIRSCHI Marc,UAE Team Emirates
HIRT Jan,Intermarché - Wanty - Gobert Matériaux
HIVERT Jonathan,B&B Hotels - KTM
HODEG Álvaro José,UAE Team Emirates
HOELGAARD Markus,Trek - Segafredo
HOFSTEDE Lennard,Jumbo-Visma
HOFSTETTER Hugo,Team Arkéa Samsic
HOLLENSTEIN Reto,Israel - Premier Tech
HOLLMANN Juri,Movistar Team
HOLMES Matthew,Lotto Soudal
HOLTER Ådne,Uno-X Pro Cycling Team
HOLTHER Trym Westgaard,Drone Hopper -  Androni Giocattoli
HONORÉ Mikkel Frølich,Quick-Step Alpha Vinyl Team
HOOLE Daan,Trek - Segafredo
HOULE Hugo,Israel - Premier Tech
HOWES Alex,EF Education-EasyPost
HOWSON Damien,Team BikeExchange - Jayco
HULGAARD Morten,Uno-X Pro Cycling Team
HUYS Laurens,Intermarché - Wanty - Gobert Matériaux
HVIDEBERG Jonas Iversby,Team DSM
HÄNNINEN Jaakko,AG2R Citroën Team
IMPEY Daryl,Israel - Premier Tech
IRIBAR Unai,Euskaltel - Euskadi
IRIZAR Julen,Euskaltel - Euskadi
IRVINE Declan,Team Novo Nordisk
ISASA Xabier,Euskaltel - Euskadi
ITURRIA Mikel,Euskaltel - Euskadi
IZAGIRRE Gorka,Movistar Team
IZAGIRRE Ion,Cofidis
JACOBS Johan,Movistar Team
JAIME Álex,Equipo Kern Pharma
JAKOBSEN Fabio,Quick-Step Alpha Vinyl Team
JANSE VAN RENSBURG Reinardt,Lotto Soudal
JANSEN Amund Grøndahl,Team BikeExchange - Jayco
JANSSENS Jimmy,Alpecin-Deceuninck
JAUREGUI Quentin,B&B Hotels - KTM
JENSEN August,Human Powered Health
JOHANNESSEN Anders Halland,Uno-X Pro Cycling Team
JOHANNESSEN Tobias Halland,Uno-X Pro Cycling Team
JOHANSEN Julius,Intermarché - Wanty - Gobert Matériaux
JOHNSTON Calum,Caja Rural - Seguros RGA
JONES Taj,Israel - Premier Tech
JORGENSON Matteo,Movistar Team
JOUSSEAUME Alan,TotalEnergies
JOYCE Colin,Human Powered Health
JUARISTI Txomin,Euskaltel - Euskadi
JULLIEN Anthony,AG2R Citroën Team
JUNGELS Bob,AG2R Citroën Team
JUUL-JENSEN Christopher,Team BikeExchange - Jayco
KAMP Alexander,Trek - Segafredo
KANGERT Tanel,Team BikeExchange - Jayco
KANTER Max,Movistar Team
KEISSE Iljo,Quick-Step Alpha Vinyl Team
KELDERMAN Wilco,BORA - hansgrohe
KEUKELEIRE Jens,EF Education-EasyPost
KING Ben,Human Powered Health
KIRSCH Alex,Trek - Segafredo
KLUGE Roger,Lotto Soudal
KNOX James,Quick-Step Alpha Vinyl Team
KOCH Jonas,BORA - hansgrohe
KOCHETKOV Pavel,Gazprom - RusVelo
KONOVALOVAS Ignatas,Groupama - FDJ
KONRAD Patrick,BORA - hansgrohe
KONYCHEV Alexander,Team BikeExchange - Jayco
KOOIJ Olav,Jumbo-Visma
KOPECKÝ Matyáš,Team Novo Nordisk
KORETZKY Victor,B&B Hotels - KTM
KRAGH ANDERSEN Asbjørn,Team DSM
KRAGH ANDERSEN Søren,Team DSM
KREDER Wesley,Cofidis
KRIEGER Alexander,Alpecin-Deceuninck
KRISTOFF Alexander,Intermarché - Wanty - Gobert Matériaux
KRON Andreas,Lotto Soudal
KRUIJSWIJK Steven,Jumbo-Visma
KRUL Wessel,Human Powered Health
KUDUS Merhawi,EF Education-EasyPost
KUKRLE Michael,Gazprom - RusVelo
KULSET Kristian,Uno-X Pro Cycling Team
KULSET Sindre,Uno-X Pro Cycling Team
KUSS Sepp,Jumbo-Visma
KUSZTOR Péter,Team Novo Nordisk
KWIATKOWSKI Michał,INEOS Grenadiers
KÄMNA Lennard,BORA - hansgrohe
KÜNG Stefan,Groupama - FDJ
LAAS Martin,BORA - hansgrohe
LADAGNOUS Matthieu,Groupama - FDJ
LAENGEN Vegard Stake,UAE Team Emirates
LAFAY Victor,Cofidis
LAGRÉE Adrien,B&B Hotels - KTM
LAMPAERT Yves,Quick-Step Alpha Vinyl Team
LANDA Mikel,Bahrain - Victorious
LANGELLOTTI Victor,Burgos-BH
LANGEVELD Sebastian,EF Education-EasyPost
LAPEIRA Paul,AG2R Citroën Team
LAPORTE Christophe,Jumbo-Visma
